date,network,daypart,viewers
201502,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",360
201502,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",365
201502,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",682
201502,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",544
201502,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1404
201502,A,"M,T,W,R,F 6:00 PM - 8:00 PM",259
201502,B,"M,T,W,R,F 6:00 PM - 8:00 PM",720
201502,A,"M,T,W,R,F 4:00 PM - 6:00 PM",181
201502,B,"M,T,W,R,F 4:00 PM - 6:00 PM",526
201502,A,"M,T,W,R,F 1:00 PM - 4:00 PM",167
201502,B,"M,T,W,R,F 1:00 PM - 4:00 PM",425
201502,A,"M,T,W,R,F 10:00 AM - 1:00 PM",122
201502,B,"M,T,W,R,F 10:00 AM - 1:00 PM",305
201502,A,"M,T,W,R,F 6:00 AM - 10:00 AM",94
201502,B,"M,T,W,R,F 6:00 AM - 10:00 AM",143
201502,A,"S,Su 6:00 AM - 8:00 AM",98
201502,B,"S,Su 6:00 AM - 8:00 AM",0
201502,A,"S,Su 8:00 AM - 1:00 PM",180
201502,B,"S,Su 8:00 AM - 1:00 PM",458
201502,A,"S,Su 1:00 PM - 8:00 PM",296
201502,B,"S,Su 1:00 PM - 8:00 PM",764
201503,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",231
201503,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",360
201503,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",450
201503,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",638
201503,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",651
201503,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1164
201503,A,"M,T,W,R,F 6:00 PM - 8:00 PM",284
201503,B,"M,T,W,R,F 6:00 PM - 8:00 PM",589
201503,A,"M,T,W,R,F 4:00 PM - 6:00 PM",191
201503,B,"M,T,W,R,F 4:00 PM - 6:00 PM",444
201503,A,"M,T,W,R,F 1:00 PM - 4:00 PM",158
201503,B,"M,T,W,R,F 1:00 PM - 4:00 PM",368
201503,A,"M,T,W,R,F 10:00 AM - 1:00 PM",128
201503,B,"M,T,W,R,F 10:00 AM - 1:00 PM",257
201503,A,"M,T,W,R,F 6:00 AM - 10:00 AM",102
201503,B,"M,T,W,R,F 6:00 AM - 10:00 AM",131
201503,A,"S,Su 6:00 AM - 8:00 AM",115
201503,B,"S,Su 6:00 AM - 8:00 AM",0
201503,A,"S,Su 8:00 AM - 1:00 PM",195
201503,B,"S,Su 8:00 AM - 1:00 PM",442
201503,A,"S,Su 1:00 PM - 8:00 PM",376
201503,B,"S,Su 1:00 PM - 8:00 PM",658
201504,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",214
201504,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",348
201504,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",403
201504,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",665
201504,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",597
201504,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1132
201504,A,"M,T,W,R,F 6:00 PM - 8:00 PM",271
201504,B,"M,T,W,R,F 6:00 PM - 8:00 PM",603
201504,A,"M,T,W,R,F 4:00 PM - 6:00 PM",184
201504,B,"M,T,W,R,F 4:00 PM - 6:00 PM",437
201504,A,"M,T,W,R,F 1:00 PM - 4:00 PM",141
201504,B,"M,T,W,R,F 1:00 PM - 4:00 PM",365
201504,A,"M,T,W,R,F 10:00 AM - 1:00 PM",128
201504,B,"M,T,W,R,F 10:00 AM - 1:00 PM",266
201504,A,"M,T,W,R,F 6:00 AM - 10:00 AM",94
201504,B,"M,T,W,R,F 6:00 AM - 10:00 AM",132
201504,A,"S,Su 6:00 AM - 8:00 AM",110
201504,B,"S,Su 6:00 AM - 8:00 AM",0
201504,A,"S,Su 8:00 AM - 1:00 PM",174
201504,B,"S,Su 8:00 AM - 1:00 PM",424
201504,A,"S,Su 1:00 PM - 8:00 PM",293
201504,B,"S,Su 1:00 PM - 8:00 PM",594
201505,A,"S,Su 1:00 PM - 8:00 PM",246
201505,B,"S,Su 1:00 PM - 8:00 PM",545
201505,A,"S,Su 6:00 AM - 8:00 AM",115
201505,B,"S,Su 6:00 AM - 8:00 AM",0
201505,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",199
201505,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",361
201505,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",377
201505,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",618
201505,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",522
201505,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1031
201505,A,"M,T,W,R,F 4:00 PM - 6:00 PM",170
201505,B,"M,T,W,R,F 4:00 PM - 6:00 PM",412
201505,A,"M,T,W,R,F 1:00 PM - 4:00 PM",140
201505,B,"M,T,W,R,F 1:00 PM - 4:00 PM",348
201505,A,"M,T,W,R,F 10:00 AM - 1:00 PM",107
201505,B,"M,T,W,R,F 10:00 AM - 1:00 PM",255
201505,A,"M,T,W,R,F 6:00 AM - 10:00 AM",84
201505,B,"M,T,W,R,F 6:00 AM - 10:00 AM",130
201505,A,"S,Su 8:00 AM - 1:00 PM",181
201505,B,"S,Su 8:00 AM - 1:00 PM",378
